official_code,script_code,origin,card_type
59463312,59463312,ygoprodeck_nine_deck_batch,33
95993388,95993388,ygoprodeck_nine_deck_batch,33
59808784,59808784,ygoprodeck_nine_deck_batch,33
35803249,35803249,ygoprodeck_nine_deck_batch,33554465
39987731,39987731,ygoprodeck_nine_deck_batch,33
51916032,51916032,ygoprodeck_nine_deck_batch,33
91800273,91800273,ygoprodeck_nine_deck_batch,33
79844764,79844764,ygoprodeck_nine_deck_batch,65538
55713623,55713623,ygoprodeck_nine_deck_batch,65538
44947065,44947065,ygoprodeck_nine_deck_batch,131074
33782437,33782437,ygoprodeck_nine_deck_batch,2
99666430,99666430,ygoprodeck_nine_deck_batch,8388641
7443908,7443908,ygoprodeck_nine_deck_batch,33
33837653,33837653,ygoprodeck_nine_deck_batch,33
60822251,60822251,ygoprodeck_nine_deck_batch,33
49139666,49139666,ygoprodeck_nine_deck_batch,33
75214390,75214390,ygoprodeck_nine_deck_batch,33
59975920,59975920,ygoprodeck_nine_deck_batch,33
1164211,1164211,ygoprodeck_nine_deck_batch,33
46659709,46659709,ygoprodeck_nine_deck_batch,33
29284413,29284413,ygoprodeck_nine_deck_batch,33
50486289,50486289,ygoprodeck_nine_deck_batch,33
25449584,25449584,ygoprodeck_nine_deck_batch,33
48228390,48228390,ygoprodeck_nine_deck_batch,33
55416843,55416843,ygoprodeck_nine_deck_batch,2
74213995,74213995,ygoprodeck_nine_deck_batch,131074
57312333,57312333,ygoprodeck_nine_deck_batch,65538
25311006,25311006,ygoprodeck_nine_deck_batch,2
18144507,18144506,ygoprodeck_nine_deck_batch,2
1607603,1607603,ygoprodeck_nine_deck_batch,4
32615065,32615065,ygoprodeck_nine_deck_batch,97
96220350,96220350,ygoprodeck_nine_deck_batch,97
99991455,99991455,ygoprodeck_nine_deck_batch,97
57031794,57031794,ygoprodeck_nine_deck_batch,8388641
10443957,10443957,ygoprodeck_nine_deck_batch,8388641
58069384,58069384,ygoprodeck_nine_deck_batch,8388641
